Omschrijving	Art.groep	Artikelsymbool	Gemiddeldekostprijs	Alternatiefnummer	Voorraadbijhouden	VbEnh	VkEnh	AkEnh	PrsEnh	Verkoopprijs	PercVk	Basisaankoopwaarde	Categorie	Basisgewicht	VrdEnh	UniekVolgnummer	MagazijnIN	MagazijnlocatieIN	MagazijnUIT	MagazijnlocatieUIT	Soortelijkgewicht	Datum vanaanpassing	Uur vanaanpassing	Aangepastdoor	Lotnr.leverancier	BOM	EAN13-code	Externe Omschrijving	Werknemer	Vervaldatum	Vervaldatumherziening	Aankoop-code	Soortartikel	Linkdocumentcenter	Laatste bestelprijs	Gevaarlijk en/of veiligheidsvoorschriften	Allergeen	Type artikel	Laatste ontvangstprijs	Netto gewicht	Standaardop voorraad	Budgetprijs	Afdeling	Verkoop-code	Halal	Bestemming	
Lensfront canbus LVCC 12 cellen STOCK=0 REVISIE MAKEN OPT.BLOKKEN	HF	020039A03OPT	188,2504	="0000000381727"	1	ST	ST	ST	ST	731,0000	0,00	0,0000		0,00	ST	0000039230	HMAG	GEEN	HMAG	GEEN	0,00	05/09/2019	10,02	ban		1	="0000000381727"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Lensfront canbus LVCC 12 cellen	HF	020039B03OPT	203,7704	="0000000449182"	1	ST	ST	ST	ST	731,0000	0,00	0,0000		0,00	ST	0000046714	HMAG	GEEN	HMAG	GEEN	0,00	05/09/2019	10,03	ban		1	="0000000449182"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Lensfront LVSB met canbus NIET MEER BESTELLEN - INFO PSP	HF	020039_00OPT	202,1618	3LUM46M100003	1	ST	ST	ST	ST	606,0000	0,00	179,8960		1,50	ST	0000006095	HMAG	GMAG	HMAG	GMAG	0,00	05/09/2019	10,04	ban		1	="0000000052825"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Lensfront canbus LVCC STOCK=0 REVISIE MAKEN OPT.BLOKKEN	HF	020039_01OPT	203,7618	="0000000334747"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000034022	HMAG	GEEN	HMAG	GEEN	0,00	05/09/2019	10,06	ban		1	="0000000334747"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
X-motormodule met koppeling + kleine plug	HF	020045_00KOL	600,3390	3SARK05013200	1	ST	ST	ST	ST	1764,0000	0,00	352,5720		1,52	ST	0000006785	HMAG	MR1K7	HMAG	MR1K7	0,00	17/12/2019	13,20	mro		1	="0000000059824"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Limit unit U/D	HF	020046_00KOL	300,9870	3APSK80040200	1	ST	ST	ST	ST	903,0000	0,00	181,5630		0,05	ST	0000003854	HMAG	MR1K7	HMAG	MR1K7	0,00	11/06/2019	11,44	vpa		1	="0000000030281"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	2,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Adaptie-assy Kalivam	HF	020057_00VAM	57,3040	3VAMB20000020	1	ST	ST	ST	ST	0,0000	0,00	90,7650		0,00	ST	0000006352	HMAG	GEEN	HMAG	GEEN	0,00	29/10/2018	12,14	kvs		1	="0000000055444"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Verbredingsmodule vamplaat 50	HF	020058_00VAM	44,0470	3VAMB20000030	1	ST	ST	ST	ST	0,0000	0,00	44,0460		0,00	ST	0000006353	HMAG	GEEN	HMAG	GEEN	0,00	29/10/2018	12,14	kvs		1	="0000000055451"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Sensorplaatmodule VAM 3 sensoren	HF	020059_00VAM	2307,2865	3VAMB20000010	1	ST	ST	ST	ST	0,0000	0,00	1963,3360		0,00	ST	0000006351	HMAG	GEEN	HMAG	GEEN	0,00	22/05/2019	16,18	mro		1	="0000000055437"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Detectielatten APS FM	HF	020072A00KOL	116,6800	="0000000315357"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000031369	HMAG	MR1K7	HMAG	MR1K7	0,00	29/10/2018	12,14	kvs		1	="0000000315357"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Glijwagenmodule APS (pltw)	HF	020073A00KOL	557,0894	="0000000269773"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000026018	HMAG	GEEN	HMAG	GEEN	0,00	22/05/2019	16,19	mro		1	="0000000269773"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Dekselmodule Led array	HF	020083_00ACC	98,0550	3ACC80L100000	1	ST	ST	ST	ST	0,0000	0,00	85,4550		0,00	ST	0000007124	HMAG	GEEN	HMAG	GEEN	0,00	29/10/2018	12,14	kvs		1	="0000000062985"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Vamkast Versie 3 4 sensoren	HF	020088_00VAM	501,6419	3VAM002550030	1	ST	ST	ST	ST	1370,0000	0,00	465,8820		0,00	ST	0000006346	HMAG	GEEN	HMAG	GEEN	0,00	22/05/2019	16,19	mro		1	="0000000055376"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Powerswitchbox hoogtemeting - Rev. A	HF	020099A00HME	0,0000	="0000000446020"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000046330	HMAG	GEEN	HMAG	GEEN	0,00	05/07/2019	10,01	mro		0	="0000000446020"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Powerswitchbox hoogtemeting	HF	020099_00HME	622,2401	3HME01F300000	1	ST	ST	ST	ST	0,0000	0,00	523,3120		0,00	ST	0000006252	HMAG	MR4K5.6	HMAG	MR4K5.6	0,00	24/01/2020	10,48	klam		1	="0000000054416"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
LCD 15' touchscreen assy	HF	020100A00ACC	1658,8157	3SARK05046000	1	ST	ST	ST	ST	0,0000	0,00	1391,2270		0,00	ST	0000006796	HMAG	MR8K2	HMAG	MR8K2	0,00	29/10/2018	12,14	kvs		1	="0000000059930"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Cameramodule Ueye hoogtemeting	HF	020103A00HME	1143,9947	="0000000315364"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000031370	HMAG	GM3.1	HMAG	GM3.1	0,00	17/12/2019	13,21	mro		1	="0000000315364"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Kolom APS FMB versneld (pltw)	HF	020105B00KOL	1838,8514	="0000000270236"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		10,05	ST	0000026097	HMAG	GEEN	HMAG	GEEN	0,00	28/11/2018	12,24	mro		1	="0000000270236"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Z-motormodule APS-FMB	HF	020152_00KOL	540,7945	3APSK80040100	1	ST	ST	ST	ST	1597,0000	0,00	0,0000		0,00	ST	0000008243	HMAG	MR1K7	HMAG	MR1K7	0,00	08/11/2018	11,42	mro		1	="0000000070393"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Aansluitkabelset SAM 1000	HF	020190_00ACC	80,4660	3ACC-C30-0000	1	ST	ST	ST	ST	0,0000	0,00	81,4820		0,00	ST	0000008141	HMAG	GEEN	HMAG	GEEN	0,00	29/10/2018	12,15	kvs		1	="0000000035125"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Ijkplaat CLP	HF	020192_00CAL	36,3954	3CAL-C01-0000	1	ST	ST	ST	ST	114,0000	0,00	24,7370		0,30	ST	0000006976	HMAG	VZ 25	HMAG	VZ 25	0,00	25/06/2019	13,46	mro		1	="0000000041980"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Camerahouder LM1000 A	HF	020198_00OPT	497,1010	3LUMB65001120	1	ST	ST	ST	ST	0,0000	0,00	0,0000		1,00	ST	0000006130	HMAG	MR3K4	HMAG	MR3K4	0,00	29/10/2018	12,15	kvs		1	="0000000053181"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Waterpasmodule LM20 !!!!!WIJZIGT 06/05/2009!!!!!	HF	020199_00OPT	51,9450	3LUMB80010500	1	ST	ST	ST	ST	130,0000	0,00	31,3940		0,16	ST	0000006140	HMAG	MR3K4	HMAG	MR3K4	0,00	28/11/2018	12,24	mro		1	="0000000053280"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Frame camerapaaltje hoogtemeting	HF	020219_00HME	250,5030	3HME01F200000	1	ST	ST	ST	ST	0,0000	0,00	246,7740		0,00	ST	0000006251	HMAG	MR2K5	HMAG	MR2K5	0,00	27/11/2018	08,17	VTH		1	="0000000054409"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Z-motormodule	HF	020224_00KOL	513,5945	3APS961560000	1	ST	ST	ST	ST	1520,0000	0,00	471,0200		1,90	ST	0000003826	HMAG	MR1K7	HMAG	MR1K7	0,00	28/11/2018	12,24	mro		1	="0000000030007"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Ventilatormodule	HF	020225_00KOL	10,1823	3APS961580000	1	ST	ST	ST	ST	29,5000	0,00	7,7460		0,00	ST	0000003827	HMAG	MR1K7	HMAG	MR1K7	0,00	27/02/2019	12,29	mro		1	="0000000030014"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Klapdekselmodule	HF	020226_00KOL	76,4587	3APSK45010200	1	ST	ST	ST	ST	0,0000	0,00	45,6650		0,00	ST	0000003830	HMAG	GEEN	HMAG	GEEN	0,00	29/10/2018	12,16	kvs		1	="0000000030045"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Aandrijfwiel SAM	HF	020228_00KOL	73,8071	3SAMK00010400	1	ST	ST	ST	ST	222,0000	0,00	64,0080		0,48	ST	0000006483	HMAG	MR1K7	HMAG	MR1K7	0,00	11/06/2019	11,54	vpa		1	="0000000056762"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Vlak encoderwiel	HF	020229_00KOL	68,8726	3SAMK00010500	1	ST	ST	ST	ST	206,5000	0,00	49,2400		0,30	ST	0000006485	HMAG	MR1K7	HMAG	MR1K7	0,00	29/10/2018	12,16	kvs		1	="0000000056786"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Rack CAPS	HF	020231_00KOL	589,0145	3SAMK45014500	1	ST	ST	ST	ST	0,0000	0,00	336,1880		0,00	ST	0000007248	HMAG	GEEN	HMAG	GEEN	0,00	29/10/2018	12,16	kvs		1	="0000000064033"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Leidwiel SAR	HF	020236_00KOL	24,3327	3SARK05010200	1	ST	ST	ST	ST	72,0000	0,00	20,3740		0,30	ST	0000008136	HMAG	MR1K7	HMAG	MR1K7	0,00	27/01/2020	09,55	mro		1	="0000000059701"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
X-encoder module plat wiel	HF	020238_00KOL	465,9098	3SARK05013600	1	ST	ST	ST	ST	1398,0000	0,00	288,4550		0,34	ST	0000006787	HMAG	MR1K7	HMAG	MR1K7	0,00	25/04/2019	08,59	vpa		1	="0000000059848"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Waterpasmodule LM6 !!!!WIJZIGT 06/05/2009 !!!!!	HF	020243_00OPT	22,6868	3LUMB06030000	1	ST	ST	ST	ST	0,0000	0,00	7,3460		0,00	ST	0000006118	HMAG	MR3K4	HMAG	MR3K4	0,00	29/10/2018	12,17	kvs		1	="0000000053051"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Lasermodule LM11 US	HF	020245_00OPT	85,3260	3LUM961130010	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000006109	HMAG	MR3K4	HMAG	MR3K4	0,00	19/04/2019	10,13	VTH		1	="0000000052962"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Front LM20	HF	020246_00OPT	117,8611	3LUMB75030010	1	ST	ST	ST	ST	314,0000	0,00	61,0210		0,00	ST	0000007261	HMAG	GEEN	HMAG	GEEN	0,00	27/01/2020	10,01	mro		1	="0000000053228"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Inkijkspiegel LM20	HF	020249_00OPT	39,7194	3LUMB85000005	1	ST	ST	ST	ST	150,0000	0,00	23,4820		0,00	ST	0000006147	HMAG	MR3K4	HMAG	MR3K4	0,00	27/01/2020	09,57	mro		1	="0000000053358"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
V-blok assy	HF	020274_00KOL	41,6744	3ACC-V10-0000	1	ST	ST	ST	ST	0,0000	0,00	41,8080		0,00	ST	0000003671	HMAG	MR1K7	HMAG	MR1K7	0,00	28/11/2018	12,25	mro		1	="0000000028646"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
X-motormodule met koppeling	HF	020282_00KOL	593,2981	3SARK05013000	1	ST	ST	ST	ST	1527,0000	0,00	0,0000		1,52	ST	0000008244	HMAG	MR1K7	HMAG	MR1K7	0,00	19/04/2019	10,14	VTH		1	="0000000070409"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Bedieningspaneelmodule LVC New	HF	020287_00OPT	520,5826	3LUMB50015000	1	ST	ST	ST	ST	1551,0000	0,00	395,5830		0,11	ST	0000006126	HMAG	MR3K4	HMAG	MR3K4	0,00	29/10/2018	12,18	kvs		1	="0000000053143"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Katrol assy	HF	020294_00KOL	49,3866	3SARK10070300	1	ST	ST	ST	ST	144,0000	0,00	27,3230		0,00	ST	0000006809	HMAG	MR1K7	HMAG	MR1K7	0,00	27/01/2020	10,01	mro		1	="0000000060066"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Dubbel handvat mechanisch Rev. A	HF	020298_00KOL	97,0968	3SARK05042210	1	ST	ST	ST	ST	315,0000	0,00	81,5180		0,00	ST	0000006795	HMAG	MR1K7	HMAG	MR1K7	0,00	28/11/2018	12,25	mro		1	="0000000059923"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Controlbox SAM1000 SA	HF	020299_00ACC	646,9825	3SAPK40041500	1	ST	ST	ST	ST	0,0000	0,00	550,5750		0,00	ST	0000006260	HMAG	MR2K2.2	HMAG	MR2K2.2	0,00	29/10/2018	12,19	kvs		1	="0000000054492"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Vertikale butee set SAR	HF	020301A00ACC	81,3402	3SARK25044500	1	ST	ST	ST	ST	0,0000	0,00	16,8500		0,00	ST	0000023705	HMAG	MR2K2.2	HMAG	MR2K2.2	0,00	03/10/2019	11,15	mro		1	="0000000060196"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Railklem TM	HF	020303_00KOL	83,1306	3SAMK25012700	1	ST	ST	ST	ST	0,0000	0,00	27,2000		0,00	ST	0000006487	HMAG	MR1K7	HMAG	MR1K7	0,00	30/10/2018	09,44	mro		1	="0000000056809"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Steunwiel SAR	HF	020306_00KOL	25,8148	3SARK05010300	1	ST	ST	ST	ST	75,0000	0,00	15,7190		0,00	ST	0000006775	HMAG	MR1K7	HMAG	MR1K7	0,00	21/03/2019	10,03	vpa		1	="0000000059725"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Microswitchmodule 4P+E	HF	020307_00KOL	62,0761	3APS992700010	1	ST	ST	ST	ST	208,0000	0,00	38,6690		0,00	ST	0000003828	HMAG	MR1K8	HMAG	MR1K8	0,00	17/12/2019	13,22	mro		1	="0000000030021"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,60	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Rolwagen SAR TM (pltw)	HF	020308A00KOL	1072,4952	="0000000298216"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000028748	HMAG	GEEN	HMAG	GEEN	0,00	28/11/2018	12,26	mro		1	="0000000298216"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Handrem assy	HF	020310_00KOL	104,0731	3SARK05050200	1	ST	ST	ST	ST	227,5000	0,00	0,0000		0,00	ST	0000008553	HMAG	MR1K7	HMAG	MR1K7	0,00	22/05/2019	16,20	mro		1	="0000000073820"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Drukknop assy	HF	020311_00KOL	16,7400	3SARK05050400	1	ST	ST	ST	ST	48,0000	0,00	8,4110		0,00	ST	0000006801	HMAG	MR1K7	HMAG	MR1K7	0,00	27/01/2020	10,00	mro		1	="0000000059985"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Katrol TM assy	HF	020312_00KOL	71,5246	3SARK25070300	1	ST	ST	ST	ST	215,0000	0,00	39,4860		0,00	ST	0000006823	HMAG	MR1K7	HMAG	MR1K7	0,00	30/10/2018	09,44	mro		1	="0000000060202"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
