Omschrijving	Art.groep	Artikelsymbool	Gemiddeldekostprijs	Alternatiefnummer	Voorraadbijhouden	VbEnh	VkEnh	AkEnh	PrsEnh	Verkoopprijs	PercVk	Basisaankoopwaarde	Categorie	Basisgewicht	VrdEnh	UniekVolgnummer	MagazijnIN	MagazijnlocatieIN	MagazijnUIT	MagazijnlocatieUIT	Soortelijkgewicht	Datum vanaanpassing	Uur vanaanpassing	Aangepastdoor	Lotnr.leverancier	BOM	EAN13-code	Externe Omschrijving	Werknemer	Vervaldatum	Vervaldatumherziening	Aankoop-code	Soortartikel	Linkdocumentcenter	Laatste bestelprijs	Gevaarlijk en/of veiligheidsvoorschriften	Allergeen	Type artikel	Laatste ontvangstprijs	Netto gewicht	Standaardop voorraad	Budgetprijs	Afdeling	Verkoop-code	Halal	Bestemming	
Aligneerspiegel manuele BSA unit	DIVMA	180325_01DAS	0,0000	="0000000410328"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000042628	HMAG	VZ 26-3	HMAG	VZ 26-3	0,00	08/04/2019	09,38	klam		0	="0000000410328"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Glas MPC2 box	DIVMA	180359_01DAS	100,0000	="0000000412421"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000042915	HMAG	VZ 26-3	HMAG	VZ 26-3	0,00	08/04/2019	09,38	klam		0	="0000000412421"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	3,6969	0	0	Standaardartikel	100,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Spiegel kalibratiespiegel MPC2 box	DIVMA	180380_01DAS	0,0000	="0000000412599"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000042925	HMAG	GEEN	HMAG	GEEN	0,00	08/08/2018	12,41	BAN		0	="0000000412599"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Samengesteld aluminium kabelportaal voor Renault Technocentre	DIVMA	180514_01PTK	3108,0000	="0000000424806"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044255	HMAG	GEEN	HMAG	GEEN	0,00	30/01/2019	09,57	mro		0	="0000000424806"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	3108,00	0	0	Standaardartikel	3108,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Venster plexi wielklem Koch	DIVMA	180524_01DAS	3,9800	="0000000421126"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000043839	HMAG	VZ 26-3	HMAG	VZ 26-3	0,00	08/04/2019	09,39	klam		0	="0000000421126"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	3,98	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Portaalconstructie 4de lijn Skoda Mlada Boleslav	DIVMA	180530_01PTK	7041,0000	="0000000422680"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044002	HMAG	GEEN	HMAG	GEEN	0,00	05/03/2019	15,28	mro		0	="0000000422680"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	7041,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
ELAN safety switch & C-profiel 655mm - motorkast PLM	DIVMA	180559_01KOL	350,0250	="0000000422956"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044026	HMAG	GEEN	HMAG	GEEN	0,00	04/04/2019	13,50	mro		0	="0000000422956"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	119,10	0	0	Standaardartikel	262,20	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
ELAN safety switch & C-profiel 200mm - beschermkap rolwagen PLM	DIVMA	180560_01KOL	317,8500	="0000000422963"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044027	HMAG	GEEN	HMAG	GEEN	0,00	04/04/2019	13,50	mro		0	="0000000422963"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	423,80	0	0	Standaardartikel	238,20	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
ELAN safety switch & C-profiel 595mm - beschermkap rolwagen PLM	DIVMA	180561_01KOL	346,2000	="0000000422970"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044028	HMAG	GEEN	HMAG	GEEN	0,00	04/04/2019	13,50	mro		0	="0000000422970"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	461,60	0	0	Standaardartikel	259,05	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Plexiglas camerabox (dubbele camera)	DIVMA	190021_01HME	4,2900	="0000000428453"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044642	HMAG	MR4K3	HMAG	MR4K3	0,00	13/02/2019	15,55	mro		0	="0000000428453"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Portaal voor calibration rig of 'air suspension systems' Volvo	DIVMA	190028_01FAS	3279,0000	="0000000426770"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044466	HMAG	GEEN	HMAG	GEEN	0,00	21/02/2019	14,23	mro		0	="0000000426770"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	3279,00	0	0	Standaardartikel	3279,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Kabel tegengewicht SAR verlengd L=1900mm	DIVMA	190031_01KOL	3,8000	="0000000428460"	1	ST	ST	ST	ST	11,5000	0,00	0,0000		0,00	ST	0000044643	HMAG	MR8K3	HMAG	MR8K3	0,00	13/02/2019	15,57	mro		0	="0000000428460"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Tussenplaat rails voor railopstelling luminoscope Renault Technocentre	DIVMA	190104_01ACC	248,7500	="0000000428675"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044664	HMAG	GEEN	HMAG	GEEN	0,00	03/04/2019	15,30	mro		0	="0000000428675"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	248,75	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Tussenplaat 1 rails voor railopstelling Mire Renault Technocentre	DIVMA	190105_01ACC	248,7500	="0000000428682"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044665	HMAG	GEEN	HMAG	GEEN	0,00	03/04/2019	15,30	mro		0	="0000000428682"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	248,75	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Tussenplaat 2 rails voor railopstelling Mire Renault Technocentre	DIVMA	190106_01ACC	248,7500	="0000000428699"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044666	HMAG	GEEN	HMAG	GEEN	0,00	03/04/2019	15,30	mro		0	="0000000428699"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	248,75	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Tussenplaat 3 rails voor railopstelling Mire Renault Technocentre	DIVMA	190107_01ACC	248,7500	="0000000428705"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000044667	HMAG	GEEN	HMAG	GEEN	0,00	03/04/2019	15,30	mro		0	="0000000428705"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	248,75	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Venster spiegelmodule wielklem	DIVMA	190522_01DAS	0,0000	="0000000433631"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045165	HMAG	VZ 26	HMAG	VZ 26	0,00	12/03/2019	10,06	klam		0	="0000000433631"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	0	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Glas bodem LED lamp 360	DIVMA	190557_01FAS	51,0000	="0000000434713"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045270	HMAG	GEEN	HMAG	GEEN	0,00	06/05/2019	13,58	mro		0	="0000000434713"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	51,00	0	0	Standaardartikel	51,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Glas bodem LED lamp 1008	DIVMA	190558_01FAS	51,0000	="0000000434720"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045271	HMAG	GEEN	HMAG	GEEN	0,00	06/05/2019	13,58	mro		0	="0000000434720"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	51,00	0	0	Standaardartikel	51,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Diffuser plexi small mirror cam target	DIVMA	190659_01DAS	7,5000	="0000000438902"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045643	HMAG	VZ 26	HMAG	VZ 26	0,00	20/05/2019	12,27	mro		0	="0000000438902"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	7,50	0	0	Standaardartikel	7,50	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Plexi mat small mirror cam target	DIVMA	190660_01DAS	6,8700	="0000000438919"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045644	HMAG	VZ 26	HMAG	VZ 26	0,00	20/05/2019	12,27	mro		0	="0000000438919"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	6,87	0	0	Standaardartikel	6,87	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Film small mirror cam target	DIVMA	190663_01DAS	0,0000	="0000000438926"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045645	HMAG	VZ 26	HMAG	VZ 26	0,00	17/05/2019	11,13	klam		0	="0000000438926"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Diffuser plexi bodem LED lamp 360	DIVMA	190705_01FAS	30,0000	="0000000439787"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045733	HMAG	GEEN	HMAG	GEEN	0,00	16/05/2019	09,17	mro		0	="0000000439787"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Diffuser plexi bodem LED lamp 1008	DIVMA	190706_01FAS	6,0000	="0000000439831"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045738	HMAG	MR7K4	HMAG	MR7K4	0,00	24/05/2019	10,53	mro		0	="0000000439831"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	6,00	0	0	Standaardartikel	6,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Glas-lens_module voor lensfront	DIVMA	190869_01OPT	0,0000	="0000000441827"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045918	HMAG	GEEN	HMAG	GEEN	0,00	29/05/2019	09,56	MSE		0	="0000000441827"	?		31/12/2099	31/12/2099	Bestelbaar	Maakloon	1	0,00	0	0	Standaardartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Omschrijving	Art.groep	Artikelsymbool	Gemiddeldekostprijs	Alternatiefnummer	Voorraadbijhouden	VbEnh	VkEnh	AkEnh	PrsEnh	Verkoopprijs	PercVk	Basisaankoopwaarde	Categorie	Basisgewicht	VrdEnh	UniekVolgnummer	MagazijnIN	MagazijnlocatieIN	MagazijnUIT	MagazijnlocatieUIT	Soortelijkgewicht	Datum vanaanpassing	Uur vanaanpassing	Aangepastdoor	Lotnr.leverancier	BOM	EAN13-code	Externe Omschrijving	Werknemer	Vervaldatum	Vervaldatumherziening	Aankoop-code	Soortartikel	Linkdocumentcenter	Laatste bestelprijs	Gevaarlijk en/of veiligheidsvoorschriften	Allergeen	Type artikel	Laatste ontvangstprijs	Netto gewicht	Standaardop voorraad	Budgetprijs	Afdeling	Verkoop-code	Halal	Bestemming	
Vam print	HFPRI	000222A00VAM/	302,2581	3BOA002221000	1	ST	ST	ST	ST	843,0000	0,00	302,9400		0,00	ST	0000004357	HMAG	EK03P3	HMAG	EK03P3	0,00	29/11/2018	15,40	vpa		1	="0000000254052"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,40	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Kriteria logica print LM10/2000	HFPRI	000528_00OPT/	157,5842	3BOA005280000	1	ST	ST	ST	ST	448,5000	0,00	190,0910		0,00	ST	0000004358	HMAG	EK03P3	HMAG	EK03P3	0,00	29/11/2018	15,40	vpa		1	="0000000254069"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Voedingsprint LM10/2000	HFPRI	000583_00OPT/	84,7201	3BOA005830000	1	ST	ST	ST	ST	256,0000	0,00	143,1480		0,00	ST	0000004359	HMAG	EK03P3	HMAG	EK03P3	0,00	29/11/2018	15,40	vpa		1	="0000000035385"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Fujitsu IO matrix keyboard LCD	HFPRI	010055B00OPT/	157,0867	3BOA010551000	1	ST	ST	ST	ST	436,5000	0,00	0,0000		0,00	ST	0000014204	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,40	vpa		1	="0000000134170"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
X-card motorcontroller	HFPRI	010056_00KOL/	165,0000	3BOA010560000	1	ST	ST	ST	ST	495,0000	0,00	165,0000		0,00	ST	0000004360	HMAG	EK03P4	HMAG	EK03P4	0,00	28/08/2018	16,17	msoft		0	="0000000254076"	?		31/12/2099	31/12/2099	Niet bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print bedieningspaneel P6P	HFPRI	010100_00OPT/	88,9232	3BOA011000000	1	ST	ST	ST	ST	263,5000	0,00	0,0000		0,00	ST	0000014209	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,40	vpa		1	="0000000134200"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check met CANBUS	HFPRI	020040D00OPT/	91,7193	3BOA020404000	1	ST	ST	ST	ST	235,0000	0,00	103,0210		0,00	ST	0000009538	HMAG	EK02P2	HMAG	EK02P2	0,00	29/11/2018	15,41	vpa		1	="0000000244909"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check canbus LVCC	HFPRI	020040E00OPT/	100,5193	="0000000334730"	1	ST	ST	ST	ST	274,0000	0,00	0,0000		0,00	ST	0000034021	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,41	vpa		1	="0000000334730"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check canbus LVCC 14 cellen	HFPRI	020040E01OPT/	91,4680	="0000000377102"	1	ST	ST	ST	ST	274,0000	0,00	0,0000		0,00	ST	0000038797	HMAG	GEEN	HMAG	GEEN	0,00	06/09/2018	08,57	mro		1	="0000000377102"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check canbus LVCC Rev. E 12 cellen - nieuw dossier !	HFPRI	020040E02OPT/	96,5193	="0000000382137"	1	ST	ST	ST	ST	274,0000	0,00	0,0000		0,00	ST	0000039273	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,41	vpa		1	="0000000382137"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check 2017	HFPRI	020040G01OPT/	100,7582	="0000000391474"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000040312	HMAG	GEEN	HMAG	GEEN	0,00	23/05/2019	12,09	mro		1	="0000000391474"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Position check met CANBUS	HFPRI	020040_00OPT/	83,4644	3BOA020400000	1	ST	ST	ST	ST	234,5000	0,00	34,0650		0,00	ST	0000009540	HMAG	EK02P1	HMAG	EK02P1	0,00	29/11/2018	15,40	vpa		1	="0000000189682"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Relaisprint APS Rev. A	HFPRI	020074A00KOL/	51,8309	3BOA020741000	1	ST	ST	ST	ST	130,5000	0,00	55,5600		0,16	ST	0000004380	HMAG	EK03P4	HMAG	EK03P4	0,00	29/11/2018	15,41	vpa		1	="0000000173438"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print led array	HFPRI	020075_00HME/	90,1744	3BOA020750000	1	ST	ST	ST	ST	267,5000	0,00	87,6870		0,00	ST	0000004381	HMAG	MR2K5	HMAG	MR2K5	0,00	29/11/2018	15,41	vpa		1	="0000000254090"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module 1111111	HFPRI	020091_00KOL/	156,0772	3BOA020091000	1	ST	ST	ST	ST	469,0000	0,00	143,7000		0,16	ST	0000004363	HMAG	EK03P4	HMAG	EK03P4	0,00	18/02/2019	12,31	mro		1	="0000000171793"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Bruikbaar tot einde stock, nadien HFPRI-170039_02KOL	HFPRI	020093_00KOL/	138,4646	3BOA020093000	1	ST	ST	ST	ST	408,0000	0,00	165,0000		0,16	ST	0000004364	HMAG	EK03P5	HMAG	EK03P5	0,00	20/02/2019	13,49	mro		1	="0000000241601"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module 3333333	HFPRI	020121_00KOL/	156,7438	3BOA020121000	1	ST	ST	ST	ST	456,5000	0,00	145,8000		0,00	ST	0000004365	HMAG	EK03P5	HMAG	EK03P5	0,00	23/05/2019	12,09	mro		1	="0000000171809"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,20	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module CAN 2211111	HFPRI	020122_00KOL/	156,4479	3BOA020122000	1	ST	ST	ST	ST	468,5000	0,00	144,3000		0,00	ST	0000004366	HMAG	EK03P5	HMAG	EK03P5	0,00	29/11/2018	15,41	vpa		1	="0000000254113"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print deksel I/O module CAN	HFPRI	020131_00KOL/	0,0000	3BOA0201310000	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000004367	HMAG	EK73	HMAG	EK73	0,00	24/05/2017	16,43	msoft		0	="0000000035460"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print processor I/O module CAN	HFPRI	020134_00KOL/	0,0000	3BOA020134000	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000004368	HMAG	EK73	HMAG	EK73	0,00	24/05/2017	16,43	msoft		0	="0000000035477"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Relais output print enkel I/O - 2018	HFPRI	020135A00KOL/	5,9000	="0000000432191"	1	ST	ST	ST	ST	20,5000	0,00	5,7000		0,00	ST	0000045026	HMAG	EK06	HMAG	EK06	0,00	29/04/2019	11,36	klam		0	="0000000432191"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Relais output print enkel I/O	HFPRI	020135_00KOL/	6,7000	3BOA020135000	1	ST	ST	ST	ST	20,5000	0,00	5,7000		0,00	ST	0000004369	HMAG	EK03P5	HMAG	EK03P5	0,00	28/08/2018	16,18	msoft		0	="0000000196789"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	5,90	0	0	Blanco lotartikel	5,90	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print dubbele input I/O module - 2018	HFPRI	020138A00KOL/	5,3000	="0000000432207"	1	ST	ST	ST	ST	18,5000	0,00	6,0000		0,00	ST	0000045027	HMAG	GEEN	HMAG	GEEN	0,00	04/03/2019	08,47	mro		0	="0000000432207"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print dubbele input I/O module	HFPRI	020138_00KOL/	6,1000	="0000000196765"	1	ST	ST	ST	ST	18,5000	0,00	6,0000		0,00	ST	0000004362	HMAG	EK03P5	HMAG	EK03P5	0,00	28/08/2018	16,18	msoft		0	="0000000196765"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	5,30	0	0	Blanco lotartikel	5,30	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Print enkele input I/O module	HFPRI	020139_00KOL/	6,0000	3BOA020139000	1	ST	ST	ST	ST	18,0000	0,00	6,0000		0,00	ST	0000004370	HMAG	EK03P5	HMAG	EK03P5	0,00	28/08/2018	16,18	msoft		0	="0000000254120"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
DC/DC conv.board LVS-CAN !!! niet meer bestellen indien vooraad op 020431B	HFPRI	020431A00OPT/	34,8526	3BOA020431000	1	ST	ST	ST	ST	0,0000	0,00	55,4470		0,00	ST	0000004373	HMAG	EK06P4	HMAG	EK06P4	0,00	29/11/2018	15,42	vpa		1	="0000000171816"	?		31/12/2099	31/12/2099	Niet bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Niet verkoopbaar	Niet HALAL		
Print DC/DC 24V-12V LVS_CAN Rev.B met nieuwe DC/DC converter	HFPRI	020431B00OPT/	30,6882	="0000000175852"	1	ST	ST	ST	ST	107,0000	0,00	0,0000		0,00	ST	0000018084	HMAG	EK06P4	HMAG	EK06P4	0,00	23/05/2019	12,16	mro		1	="0000000175852"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Power board MST Goca	HFPRI	020462_00MST/	85,6816	3BOA020462000	1	ST	ST	ST	ST	246,5000	0,00	61,9550		0,00	ST	0000004374	HMAG	EK02P1	HMAG	EK02P1	0,00	29/11/2018	15,42	vpa		1	="0000000254144"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Processor board MST Goca	HFPRI	020494_00MST/	119,1061	3BOA020494000	1	ST	ST	ST	ST	363,0000	0,00	100,4720		0,00	ST	0000004375	HMAG	EK02P1	HMAG	EK02P1	0,00	29/11/2018	15,42	vpa		1	="0000000254151"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
LCD display MST Rev A	HFPRI	020495A00MST/	44,9720	="0000000135511"	1	ST	ST	ST	ST	120,0000	0,00	0,0000		0,00	ST	0000014424	HMAG	GEEN	HMAG	GEEN	0,00	29/11/2018	15,42	vpa		1	="0000000135511"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
LCD module WG160128B-YYH-T	HFPRI	020495_00MST/	39,3417	3BOA020495000	1	ST	ST	ST	ST	117,5000	0,00	62,7200		0,00	ST	0000004376	HMAG	EK02P2	HMAG	EK02P2	0,00	29/11/2018	15,42	vpa		1	="0000000035552"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module complete without micromodule IOM2018	HFPRI	020522A00KOL/	104,9188	="0000000434782"	1	ST	ST	ST	ST	0,0000	0,00	0,0000		0,00	ST	0000045277	HMAG	GEEN	HMAG	GEEN	0,00	20/03/2019	09,26	mro		1	="0000000434782"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	0	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
I/O module without micromodule	HFPRI	020522_00KOL/	104,9188	3BOA020522000	1	ST	ST	ST	ST	315,0000	0,00	100,0000		0,00	ST	0000004377	HMAG	EK02P2	HMAG	EK02P2	0,00	31/01/2019	12,21	mro		1	="0000000254175"	?		31/12/2099	31/12/2099	Bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
Screwdriverboard CANDIS !! enkel spare , indien geen stock meer 130007	HFPRI	020647_00DIS/	283,3021	3BOA020647000	1	ST	ST	ST	ST	820,5000	0,00	273,9900		0,26	ST	0000004379	HMAG	EK02P2	HMAG	EK02P2	0,00	29/11/2018	15,42	vpa		1	="0000000178297"	?		31/12/2099	31/12/2099	Niet bestelbaar	Halffabrikaat	1	0,00	0	0	Blanco lotartikel	0,00	0,00	0	0,00		Verkoopbaar aan klan	Niet HALAL		
